YearsExperience,Salary
15.5,104741.8
8.8,68589.93
17.2,108853.82
13.9,82910.31
1.9,33924.61
19.5,116574.88
15.2,94111.47
15.7,103507.59
2.6,49689.19
9.0,65793.54
7.4,59950.15
18.5,114191.79
12.9,94494.46
16.5,99360.5
8.9,71046.14
4.5,57535.2
11.1,73342.96
1.3,30725.72
16.6,103005.57
12.6,84617.65
15.2,101650.41
7.1,62916.64
19.4,110200.15
17.9,112611.64
15.6,97889.84
3.9,52647.79
9.3,69339.65
0.9,31503.54
3.1,46114.53
13.7,94701.71
14.9,98842.4
19.4,110557.61
6.5,61402.14
7.4,59162.77
9.4,73241.1
3.8,41405.06
2.6,43485.29
9.5,69523.6
4.5,45119.46
13.4,93155.28
8.7,70116.58
16.7,102694.09
14.0,98804.72
6.2,56137.39
16.6,104828.43
16.1,103525.65
7.7,62171.34
5.8,57984.55
13.6,89066.19
2.8,40953.45
4.0,53450.57
0.1,26287.66
15.7,90998.88
13.3,96293.75
14.1,103647.31
15.6,98578.92
9.2,63652.65
11.4,80058.06
2.8,41455.11
2.3,39590.3
13.4,85846.45
9.4,74618.24
11.3,82948.03
15.3,92872.38
12.7,89946.79
11.1,88160.74
11.2,81087.84
6.1,56100.7
0.6,32131.99
8.7,71611.03
4.3,42427.31
8.2,67557.56
17.1,105388.14
4.7,58541.3
1.2,34703.31
5.6,61871.55
5.9,52135.04
13.2,91749.04
11.1,81227.6
15.7,97173.81
13.3,90559.58
8.1,71300.08
16.3,102054.83
3.3,38082.15
0.5,32179.75
1.8,34490.31
14.4,93430.64
9.2,71073.65
3.2,37577.39
10.0,68537.37
3.0,45428.27
13.9,90459.13
8.9,59791.02
7.6,67339.38
6.0,58089.48
12.6,83844.5
7.2,57132.68
1.8,41443.23
2.4,42197.4
19.2,125930.41
18.2,113580.75
14.0,94550.81
5.3,53182.29
19.4,120567.1
15.6,102700.34
14.3,99356.9
9.0,68414.71
5.4,52558.37
1.9,36633.59
18.1,114613.21
9.1,76943.5
4.0,46164.64
6.1,55750.91
11.6,83456.31
3.5,44766.95
17.1,110758.21
15.2,89392.89
14.4,91493.18
8.6,65570.33
12.5,76968.58
11.7,78795.45
13.0,84839.38
1.7,36845.58
8.3,71801.86
0.8,32619.76
9.9,70426.75
6.6,59472.18
2.9,47246.69
2.1,35546.16
11.8,79457.7
3.4,47534.2
18.5,112363.86
11.6,84789.94
6.9,60995.41
11.8,85906.65
0.5,28109.69
19.2,116351.66
9.6,72357.24
15.7,95786.44
1.7,31396.09
9.7,76393.0
9.8,72696.19
18.8,110510.88
11.4,80915.28
9.5,77262.08
5.3,44727.05
6.6,53713.45
10.4,73108.45
8.8,75444.72
0.4,32930.35
16.5,107319.27
17.9,105989.36
2.8,38121.86
11.1,81741.25
2.2,40133.1
13.4,92494.96
5.6,54449.32
13.2,90512.57
